 INFO  Accepting connections at http://localhost:3000
 HTTP  12/1/2025 4:56:57 AM 127.0.0.1 GET /
 HTTP  12/1/2025 4:56:57 AM 127.0.0.1 Returned 200 in 1280 ms
 HTTP  12/1/2025 4:57:02 AM 127.0.0.1 HEAD /src/js/script.js
 HTTP  12/1/2025 4:57:02 AM 127.0.0.1 Returned 200 in 61 ms
 HTTP  12/1/2025 4:57:05 AM 127.0.0.1 HEAD /src/data/subjects/english_questions.json
 HTTP  12/1/2025 4:57:05 AM 127.0.0.1 Returned 200 in 81 ms
 HTTP  12/1/2025 4:57:07 AM 127.0.0.1 HEAD /subjects/english_questions.json
 HTTP  12/1/2025 4:57:07 AM 127.0.0.1 Returned 404 in 116 ms
 HTTP  12/1/2025 4:57:16 AM 127.0.0.1 HEAD /subjects/english_questions.json
 HTTP  12/1/2025 4:57:16 AM 127.0.0.1 Returned 200 in 68 ms
 HTTP  12/1/2025 4:57:33 AM 127.0.0.1 GET /subjects/english_questions.json
 HTTP  12/1/2025 4:57:33 AM 127.0.0.1 Returned 200 in 58 ms
 HTTP  12/1/2025 4:57:36 AM 127.0.0.1 GET /src/data/subjects/english_questions.json
 HTTP  12/1/2025 4:57:36 AM 127.0.0.1 Returned 200 in 219 ms
